Module	Targets_Count	Targets_Proportion	Avg.TFC
1	1	0.0909090909090909	29.0021419066791
2	18	0.193548387096774	28.0489537657117
3	1	0.111111111111111	32.7123209024628
4	1	0.142857142857143	16.3303152896323
5	15	0.333333333333333	26.5722177860999
6	19	0.240506329113924	29.4692993675473
7	11	0.211538461538462	36.5791380966094
8	2	0.0512820512820513	38.3510567811938
9	2	0.03125	29.2548706050432
10	1	0.0588235294117647	32.4171437625864
11	8	0.296296296296296	33.1604670766291
12	3	0.115384615384615	19.9508378761243
13	0	0	29.8847552102721
14	1	0.05	29.7557250883076
15	0	0	90.3612812785471
16	2	0.166666666666667	25.692459966557
17	8	0.347826086956522	31.3310855564718
18	1	0.0714285714285714	0.208723499934803
19	2	0.133333333333333	33.0656323277234
20	1	0.0153846153846154	22.5833872528329
21	0	0	15.8101293710508
22	2	0.0909090909090909	25.9083280884075
