name1	name2	module
AASDHPPT	COASY	1
ACACA	PRKAG1	1
ACACA	PSMD2	1
ACACA	ACSS2	1
ACACA	ACAT2	1
ACACA	COPB1	1
ACP1	PITPNA	2
AHCYL1	UBQLN4	3
AHCYL1	PPM1G	3
AHSA1	TRAP1	4
AHSA1	STIP1	4
AHSA1	PTGES3	4
AHSA1	HSP90AB1	4
AHSA1	PPID	4
AHSA1	HSPH1	4
AKR1B1	GLA	2
AKR1B1	GLB1	2
AKR1B1	GK	2
AKR1B1	GPX4	2
AKR1B1	SORD	2
AKR1B1	GALM	2
AKR1B1	AKR1C3	2
AKT1	EGLN1	5
AKT1	OGT	5
AKT1	RBP1	5
AKT1	ITGB4	5
AKT1	LAMB1	5
AKT1	ITGA6	5
AKT1	LAMC2	5
AKT1	YWHAG	5
AKT1	INPPL1	5
AKT1	TEP1	5
AKT1	SOD3	5
AKT1	RHEB	5
AKT1	GSK3A	5
AKT1	PPP2R1B	5
AKT1	ITGB3	5
ALDOA	ISLR	2
ALDOA	GSDMD	2
ALDOA	CAMP	2
ALDOA	LYZ	2
ALDOA	IDH1	2
ALDOA	CSTB	2
ALDOA	PTX3	2
ALDOA	OLA1	2
ALDOA	PROS1	2
ALDOA	GGH	2
ALDOA	CNN2	2
ALDOA	MMP9	2
ALDOA	LTA4H	2
ALDOA	CDA	2
ALDOA	PGM1	2
ALDOA	MAGED2	2
ALDOA	MMRN1	2
ALDOA	LTF	2
ALDOA	SPTAN1	2
ALDOA	NIT2	2
ALDOC	LTF	2
ALDOC	PTX3	2
ALDOC	CNN2	2
ALDOC	LYZ	2
ALDOC	CAMP	2
ALDOC	SPTAN1	2
ALDOC	PGM1	2
ALDOC	GSDMD	2
ALDOC	IDH1	2
ALDOC	LTA4H	2
ALDOC	CSTB	2
ALDOC	GGH	2
ALDOC	MMP9	2
ALDOC	NIT2	2
ALDOC	CDA	2
ANP32E	UCHL5	3
APBB1IP	PFN2	5
APBB1IP	ATG7	5
APBB1IP	PFN1	5
APBB1IP	PAPSS1	5
APBB1IP	ITGB3	5
APEX1	RFC3	7
APEX1	RFC5	7
APEX1	RFC2	7
ARAF	ITGB3	5
ARAF	PAPSS1	5
ARAF	ATG7	5
ARAF	PPP2R1B	5
ARHGAP35	MET	6
ATIC	CANT1	8
ATIC	IMPDH1	8
ATIC	NT5E	8
ATIC	GMPR2	8
ATIC	NT5C2	8
ATIC	NT5C3A	8
ATIC	ENTPD1	8
ATIC	HPRT1	8
ATIC	PFAS	8
ATXN2L	SLC9A3R2	10
ATXN2L	G3BP2	10
BID	CASP8	11
BID	NMT1	11
BID	TRADD	11
BID	CASP10	11
C12orf5	MPI	2
C9orf142	XRCC4	7
CBFB	GPAM	12
CBFB	ITGA5	12
CBFB	TJP1	12
CBFB	PRMT1	12
CBFB	PPIA	12
CBFB	TCEB2	12
CBFB	CLDN5	12
CBFB	CTSL	12
CDK5	PAK1	6
CDK5	PLXNA2	6
CDK5	GSK3B	6
CMAS	NANS	13
CSE1L	TWF1	14
CSE1L	KPNA6	14
CSE1L	UBR1	14
CSE1L	TXNDC5	14
CSK	PAPSS1	5
CSK	TNS1	5
CSK	ITGB3	5
CSK	ITGB1	5
CSK	TENC1	5
CSK	FRK	5
DAK	GNPAT	2
DEPTOR	RHEB	5
DEPTOR	IGBP1	5
DEPTOR	YWHAG	5
EFNB1	PAK2	6
EFNB1	PTPN13	6
EFNB1	PAK1	6
EIF2AK2	MX2	6
EIF2AK2	STAT1	6
EIF2AK2	MX1	6
ENO2	FKBP1A	2
ENO2	GPX4	2
ENO2	HINT1	2
ENO2	PLS3	2
FAM114A2	PAPSS1	5
FAM114A2	ITGB3	5
FEN1	RFC3	7
FEN1	RFC2	7
FEN1	NASP	7
FEN1	RFC5	7
FEN1	RAD50	7
FEN1	XRCC1	7
FUK	SORD	2
FYN	LCP2	6
FYN	PRNP	6
FYN	LRP8	6
FYN	ITGA1	6
FYN	MAPK13	6
FYN	SPTB	6
FYN	SPTBN1	6
FYN	SPTA1	6
FYN	PTPN13	6
FYN	SNCA	6
FYN	PAK1	6
FYN	SYK	6
FYN	GSK3B	6
