name1	name2
CPPED1	FUCA2
CPPED1	GLA
CPPED1	CTSG
CPPED1	CTSC
CPPED1	MPO
CPPED1	PYCARD
CPPED1	PRTN3
CPPED1	LYZ
CPPED1	GGH
CPPED1	GALNS
CPPED1	HEXB
CPPED1	GUSB
CPPED1	RNASE3
CPPED1	IMPDH1
CPPED1	GLB1
CPPED1	CTSA
CPPED1	GM2A
CPPED1	TXNDC5
CPPED1	FUCA1
CPPED1	ELANE
CPPED1	GDI2
CPPED1	NAPRT
CPPED1	HEBP2
CPPED1	DNAJC3
CPPED1	IST1
CPPED1	FRK
CPPED1	RNASET2
CPPED1	MAN2B1
CPPED1	NPC2
CPS1	HSPA4
CPS1	GLS2
CPS1	GLUL
CPSF2	GPKOW
CPS1	HSPH1
CPSF2	YTHDC2
CPSF2	CSTF1
CPSF2	PAPOLA
CPSF2	DDX5
CPSF2	DDX39A
CPSF2	WDR77
CPSF2	LSM8
CPSF2	PPIL4
CPSF2	ZC3H4
CPSF2	PPWD1
CPSF2	WBP11
CPSF2	DNAJC8
CPSF2	RANBP2
CPSF2	GTF3C3
CPSF2	PPIL3
CPSF2	SSU72
CPSF2	LSM2
CPSF2	WDR82
CPSF2	PRPF31
CPSF2	LSM4
CPSF2	PPIL1
CPSF2	PPIH
CPSF2	HNRNPA0
CPSF2	LSM6
CPSF2	TFIP11
CPSF2	HNRNPUL1
CPSF2	SART1
CPSF2	PUF60
CPSF2	ZC3H11A
CPSF2	ELAVL1
CPSF2	PPIE
CPSF2	SARNP
CPSF2	YBX1
CPSF2	CTNNBL1
CPSF2	SRSF11
CPSF2	DDX42
CPSF2	DHX16
CPSF2	SRSF5
CPSF2	DDX46
CPSF2	PRPF4
CPSF2	HNRNPA1
CPSF2	SRRT
CPSF2	NXF1
CPSF2	NCBP1
CPSF2	PCBP2
CPSF2	DDX39B
CPSF2	POLDIP3
CPSF2	CSTF2
CPSF2	SRRM1
CPSF2	CSTF3
CRELD2	PDIA4
CRELD2	GMPPB
CRELD2	MANF
CRTAC1	UBE2I
CRTAP	LEPREL2
CRTAP	LEPRE1
CRTAP	SERPINH1
CRYAB	PRNP
CSDE1	YBX1
CSE1L	RFC4
CSE1L	UBE2A
CSE1L	TWF1
CSE1L	UBR1
CSE1L	TXNDC5
CSE1L	KPNA6
CSK	TNS1
CSE1L	KPNA2
CSK	TENC1
CSK	ZC3HAV1
CSK	FRK
CSK	VWF
CSK	FAM114A2
CSK	PRKAR2B
CSK	PAPSS1
CSK	ITGA2B
CSK	ITGA1
CSK	YES1
CSK	ITGB1
CSK	ITGB3
CSK	PTPN6
CSK	MAP2K1
CSK	MAP2K2
CSK	PECAM1
CSK	PTPN11
CSK	RASA1
CSK	FYN
CSK	ZAP70
CSPG4	DCN
CSPG4	ITGA3
CSPG4	SDC1
CSPG4	ITGB1
CSTB	LTA4H
CSPG4	HSPG2
CSTB	GGH
CSTB	LTF
CSTB	PPBP
CSTB	LYZ
CSTB	PTX3
CSTB	PGM1
CSTB	PTPN6
CSTB	GSDMD
CSTB	IDH1
CSTB	NIT2
CSTB	SPTAN1
CSTB	MMP9
CSTF1	YTHDC2
CSTF1	GPKOW
CSTF1	PAPOLA
CSTF1	DCUN1D1
CSTF1	HEATR2
CSTF1	ZC3H4
CSTF1	HSPBP1
CSTF1	NDRG3
CSTF1	YBX1
CSTF1	POLDIP3
CSTF1	DDX46
CSTF1	TFIP11
CSTF1	PRPF31
CSTF1	DDX42
CSTF1	DHX16
CSTF1	ZC3H11A
CSTF1	SRSF11
CSTF1	WBP11
CSTF1	HNRNPUL1
CSTF1	PPIL4
CSTF1	LSM6
CSTF1	SARNP
CSTF1	PPIL3
CSTF1	DDX39A
CSTF1	PPIL1
CSTF1	DNAJC8
CSTF1	LSM2
CSTF1	SART1
CSTF1	SRRT
CSTF1	LSM8
CSTF1	LSM4
CSTF1	CTNNBL1
CSTF1	DDX5
CSTF1	PPWD1
CSTF1	PCBP2
CSTF1	HNRNPA0
CSTF1	PPIH
CSTF1	PPIE
CSTF1	ELAVL1
CSTF1	NCBP1
CSTF1	SRRM1
CSTF1	PUF60
CSTF1	DDX39B
CSTF1	SRSF5
CSTF1	PRPF4
CSTF1	HNRNPA1
CSTF1	CSTF3
CSTF1	CSTF2
CSTF2	PAPOLA
CSTF2	GPKOW
CSTF2	DDX39A
CSTF2	DDX5
CSTF2	PPIL4
CSTF2	LSM8
CSTF2	PPWD1
CSTF2	WBP11
CSTF2	PPIL3
CSTF2	DNAJC8
CSTF2	PPIH
CSTF2	SSU72
CSTF2	CSTF3
CSTF2	SART1
CSTF2	PRPF31
CSTF2	HNRNPA0
CSTF2	SARNP
CSTF2	SRRM1
CSTF2	PCBP2
CSTF2	HNRNPA1
CSTF2	SRSF11
CSTF2	CTNNBL1
CSTF2	PPIE
CSTF2	YBX1
CSTF2	ZC3H11A
CSTF2	EIF4B
CSTF2	DDX46
CSTF2	HNRNPUL1
CSTF2	PPIL1
CSTF2	DDX42
CSTF2	ELAVL1
CSTF2	TFIP11
CSTF2	LSM6
CSTF2	SRSF5
CSTF2	PRPF4
CSTF2	LSM4
CSTF2	PUF60
CSTF2	LSM2
CSTF2	DHX16
CSTF2	POLDIP3
CSTF2	DDX39B
CSTF2	SRRT
CSTF3	GPKOW
CSTF2	NCBP1
CSTF3	PAPOLA
CSTF3	YTHDC2
CSTF3	DDX39A
CSTF3	DDX5
CSTF3	ZC3H4
CSTF3	LSM8
CSTF3	WBP11
CSTF3	PPIL4
CSTF3	DNAJC8
CSTF3	PPWD1
CSTF3	PPIH
CSTF3	PPIL3
CSTF3	SUPT6H
CSTF3	SART1
CSTF3	ZC3H11A
CSTF3	PPIE
CSTF3	PRPF31
CSTF3	SRSF11
CSTF3	PRPF4
CSTF3	LSM4
CSTF3	YBX1
CSTF3	PPIL1
CSTF3	PCBP2
CSTF3	HNRNPUL1
CSTF3	HNRNPA0
CSTF3	LSM6
CSTF3	TFIP11
CSTF3	LSM2
CSTF3	SARNP
CSTF3	DHX16
CSTF3	DDX42
CSTF3	ELAVL1
CSTF3	NCBP1
CSTF3	PUF60
CSTF3	CTNNBL1
CSTF3	SRRT
CSTF3	POLDIP3
CSTF3	SRRM1
CSTF3	HNRNPA1
CSTF3	DDX46
CSTF3	DDX39B
CSTF3	SRSF5
CTBP1	UBE3A
CTBP1	UBE2A
CTBP1	RAD50
CTBP1	RUNX1
CTBP1	UBA1
CTBP1	SUMO1
CTBP1	UBE2I
CTBP1	CTBP2
CTNNBL1	GPKOW
CTBP2	RUNX1
CTNNBL1	DDX5
CTNNBL1	PAPOLA
CTNNBL1	TARDBP
CTNNBL1	PPIL4
CTNNBL1	LSM8
CTNNBL1	PPWD1
CTNNBL1	WBP11
CTNNBL1	PPIL3
CTNNBL1	DNAJC8
CTNNBL1	SART1
CTNNBL1	PPIH
CTNNBL1	PPP1R8
CTNNBL1	HNRNPA0
CTNNBL1	KHDRBS1
CTNNBL1	SRRM1
CTNNBL1	PRPF31
CTNNBL1	PCBP2
CTNNBL1	HNRNPA1
CTNNBL1	FUBP1
CTNNBL1	DDX39B
CTNNBL1	SSB
CTNNBL1	PPIL1
CTNNBL1	DDX42
CTNNBL1	LSM6
CTNNBL1	YBX1
CTNNBL1	TFIP11
CTNNBL1	LSM2
CTNNBL1	DHX16
CTNNBL1	HNRNPUL1
CTNNBL1	LSM4
CTNNBL1	PPIE
CTNNBL1	SRSF11
CTNNBL1	SRSF5
CTNNBL1	PRPF4
CTNNBL1	NCBP1
CTNNBL1	PUF60
CTNNBL1	DDX46
CTNNBL1	SRRT
CTNNBL1	SF1
CTPS1	GRWD1
CTNNBL1	ELAVL1
CTPS1	POLR1A
CTPS1	WDR12
CTPS1	NME1
CTPS1	IMPDH2
CTPS1	ENTPD1
CTPS1	IMPDH1
CTPS1	PWP1
CTPS1	TSN
CTPS1	CTPS2
CTPS1	STRAP
CTPS2	GRWD1
CTPS1	GMPS
CTPS2	NME1
CTPS2	POLR1A
CTPS2	GMPS
CTPS2	ENTPD1
CTR9	IWS1
CTR9	TCEB2
CTR9	NELFB
CTR9	SUPT6H
CTR9	NCBP1
CTR9	NELFCD
CTR9	UBE2A
CTR9	NELFA
CTR9	RNF20
CTR9	TCEA1
CTR9	RTF1
CTR9	SUPT5H
CTSA	CTSG
CTSA	FUCA2
CTSA	MPO
CTSA	GLA
CTSA	PRTN3
CTSA	CTSC
CTSA	GGH
CTSA	PYCARD
CTSA	HEXB
CTSA	LYZ
CTSA	RNASE3
CTSA	GALNS
CTSA	GLB1
CTSA	GUSB
CTSA	GM2A
CTSA	IMPDH1
CTSA	ELANE
CTSA	HEBP2
CTSA	IST1
CTSA	TXNDC5
CTSA	GDI2
CTSA	DNAJC3
CTSA	NAPRT
CTSA	FRK
CTSA	FUCA1
CTSA	RNASET2
CTSA	NPC2
CTSA	MAN2B1
CTSB	CTSL
CTSA	NEU1
CTSC	CTSG
CTSC	FUCA2
CTSC	YKT6
CTSC	GLA
CTSC	USO1
CTSC	MPO
CTSC	HEBP2
CTSC	SEC24A
CTSC	SEC23IP
CTSC	SEC16A
CTSC	SEC31A
CTSC	FRK
CTSC	RNASET2
CTSC	NSF
CTSC	SAR1B
CTSC	IMPDH1
CTSC	DNAJC3
CTSC	RNASE3
CTSC	HEXB
CTSC	TXNDC5
CTSC	GDI2
CTSC	IST1
CTSC	FUCA1
CTSC	MAN2B1
CTSC	NAPRT
CTSC	SEC24D
CTSC	GLB1
CTSC	PYCARD
CTSC	GALNS
CTSC	GGH
CTSC	LYZ
CTSC	GM2A
CTSC	GUSB
CTSC	NPC2
CTSC	PRTN3
CTSC	ELANE
CTSG	FUCA2
CTSG	GLA
CTSG	TCF25
CTSG	GLB1
CTSG	IMPDH1
CTSG	GDI2
CTSG	GM2A
CTSG	NPC2
CTSG	NAPRT
CTSG	HEBP2
CTSG	GGH
CTSG	TXNDC5
CTSG	IST1
CTSG	MAN2B1
CTSG	RNASET2
CTSG	FUCA1
CTSG	FRK
CTSG	GALNS
CTSG	DNAJC3
CTSG	PYCARD
CTSG	HEXB
CTSG	IGFBP3
CTSG	GUSB
CTSG	PRTN3
CTSG	LYZ
CTSG	RNASE3
CTSG	MMP9
CTSG	MPO
CTSG	ELANE
CTSL	HSPG2
CTSL	RUNX1
CTTN	LAMA4
CTTN	LAMB1
CTTN	HIP1R
CTTN	LAMA5
CTTN	LAMC2
CTTN	LAMC1
CTTN	PAK1
CTTN	FNBP1L
CTTN	ITGA1
CTTN	TJP1
CTTN	VAMP2
CTTN	PAK2
CTTN	EPN2
CTTN	GAK
CTTN	FYN
CTTN	LAMA3
CTTN	DMD
CTTN	LAMC3
CTTN	OCRL
CTTN	UTRN
CTTN	GAPVD1
CTTN	LAMA2
CTTN	DAG1
CTTN	LAMB3
CTTN	PACSIN3
CTTN	LAMB2
CTTN	FNBP1
CTTN	ITGB1
CUL1	PSMD8
CUL1	PSMA4
CUL1	PSME2
CUL1	PSMA3
CUL1	PSMD10
CUL1	UBE3A
CUL1	SGTA
CUL1	UBE2M
CUL1	PSMB7
CUL1	IREB2
CUL1	UBE2K
CUL1	PSMC1
CUL1	TCEB2
CUL1	PSMD11
CUL1	PSMD3
CUL1	CUL3
CUL1	SAE1
CUL1	UBR1
CUL1	UBE2L6
CUL1	PSME3
CUL1	DCUN1D1
CUL1	FBXO22
CUL1	DTX3L
CUL1	PSMD2
CUL1	UBE3C
CUL1	UBA6
CUL1	PPP2R1B
CUL1	LRSAM1
CUL1	UBE2N
CUL1	GSK3B
CUL1	UBE2O
CUL1	PSME1
CUL1	RNF213
CUL1	PPP2R5E
CUL1	PSMD13
CUL1	PPP2R5D
CUL1	PSMA1
CUL1	PSME4
CUL1	HECTD1
CUL1	LTN1
CUL1	HERC4
CUL1	PSMD6
CUL1	CUL2
CUL1	PSMC6
CUL1	UBE2V2
CUL1	UBA5
CUL1	PSMB3
CUL1	UBE2Z
CUL1	PSMC2
CUL1	USP47
CUL1	TRIP12
CUL1	PSMC3
CUL1	STAT1
CUL1	UBE2J1
CUL1	HUWE1
CUL1	NFKB2
CUL1	UBE2I
CUL1	UBE2A
CUL1	IKBKB
CUL1	UBA7
CUL1	PSMD4
CUL1	PSMD12
CUL1	UBE2D3
CUL1	FBXO2
CUL1	UBE2G1
CUL1	UBA1
CUL1	NAE1
CUL1	GPS1
CUL2	PSMA4
CUL1	UBA3
CUL2	PSMA3
CUL2	PSMD8
CUL2	PSMD10
CUL2	PSME2
CUL2	UBE2M
CUL2	UBE3A
CUL2	PSMC1
CUL2	PSMB7
CUL2	PSMD11
CUL2	UBE2K
CUL2	CUL3
CUL2	TCEB2
CUL2	PSMD3
CUL2	UBE2L6
CUL2	LIMD1
CUL2	DCUN1D1
CUL2	UBR1
CUL2	DTX3L
CUL2	PSME3
CUL2	FBXO22
CUL2	UBXN7
CUL2	PSMD2
CUL2	UBE3C
CUL2	UBE2N
CUL2	UBA6
CUL2	UBE2O
CUL2	LRSAM1
CUL2	UBA1
CUL2	UBA7
CUL2	FBXO2
CUL2	HUWE1
CUL2	UBA5
CUL2	PSMD12
CUL2	UBE2Z
CUL2	UBE2D3
CUL2	EGLN1
CUL2	UBA3
CUL2	UBE2A
CUL2	PSMD4
CUL2	TRIP12
CUL2	PSME1
CUL2	HERC4
CUL2	GPS1
CUL2	UBE2G1
CUL2	HECTD1
CUL2	ZSWIM8
CUL2	PSMC2
CUL2	PSME4
CUL2	PSMC6
CUL2	PSMD13
CUL2	PSMD6
CUL2	PSMA1
CUL2	RNF213
CUL2	UBE2V2
CUL2	LTN1
CUL2	PSMB3
CUL2	PSMC3
CUL2	UBE2J1
CUL3	PSMD8
CUL3	PSMA4
CUL3	PSME2
CUL3	PSMA3
CUL3	UBE3A
CUL3	PSMD10
CUL3	SBDS
CUL3	PSMB7
CUL3	UBE2M
CUL3	UBE2K
CUL3	PSMC1
CUL3	TCEB2
CUL3	PSMD11
CUL3	DTX3L
CUL3	RNF213
CUL3	PSMD13
CUL3	PSME1
CUL3	PSME3
CUL3	LRSAM1
CUL3	FBXO22
CUL3	PSMA1
CUL3	PSME4
CUL3	UBE2V2
CUL3	UBR1
CUL3	HECTD1
CUL3	UBXN7
CUL3	HERC4
CUL3	LTN1
CUL3	PSMB3
CUL3	UBE2L6
CUL3	PSMD12
CUL3	UBE2J1
CUL3	PSMD2
CUL3	FBXO2
CUL3	PSMC3
CUL3	PSMC6
CUL3	PSMD6
CUL3	UBE2Z
CUL3	UBE3C
CUL3	UBA5
CUL3	UBE2O
CUL3	UBE2A
CUL3	PSMC2
CUL3	PSMD3
CUL3	TRIP12
CUL3	HUWE1
CUL3	PSMD4
CUL3	UBA7
CUL3	UBE2N
CUL3	UBE2G1
CUL3	UBA6
CUL3	UBA1
CUL3	UBE2D3
CUL3	GPS1
CUL3	UBA3
CUL4A	RFC2
CUL3	DCUN1D1
CUL4A	XRCC1
CUL4A	UBE2M
CUL4A	DCAF13
CUL4A	DCUN1D1
CUL4A	UBE2I
CUL4A	UBE2N
CUL4A	UBA3
CUL4A	NAE1
CUL4A	RPA2
CUL4A	PPIE
CUL4A	POLD1
CUL4A	RFC4
CUL4A	RFC1
CUL4A	RFC3
CUL4A	UBE2V2
CUL4A	RFC5
CUL4A	CUL4B
CUL4A	SUMO1
CUL4A	PCNA
CUL4A	TCEA1
CUL4B	RFC2
CUL4A	GPS1
CUL4B	XRCC1
CUL4B	UBE2M
CUL4B	DCAF13
CUL4B	DCUN1D1
CUL4B	UBE2I
CUL4B	UBE2N
CUL4B	UBA3
CUL4B	NAE1
CUL4B	RPA2
CUL4B	PPIE
CUL4B	RFC3
CUL4B	PCNA
CUL4B	SUMO1
CUL4B	RFC1
CUL4B	RFC4
CUL4B	GPS1
CUL4B	RFC5
CUL4B	UBE2V2
CUL4B	TCEA1
CUL4B	POLD1
CUTA	PRKAG1
DAAM1	PFN1
DAAM1	DAAM2
DAG1	LAMA4
DAG1	LAMB1
DAG1	SSPN
DAG1	LAMC1
DAG1	LAMA5
DAG1	PAK1
DAG1	LAMC2
DAG1	PAK2
DAG1	ITGA1
DAG1	LAMA3
DAG1	SNTB2
DAG1	LAMC3
DAG1	SGCD
DAG1	UTRN
DAG1	DMD
DAG1	HSPG2
DAG1	LAMB3
DAG1	SGCB
DAG1	ITGB1
DAG1	LAMB2
DAG1	PGM5
DAG1	SGCE
DAK	TPI1
DAG1	LAMA2
DAK	GNPAT
DAK	TRIM25
DAP3	TNFSF10
DAK	DDX58
DAP3	MRPS7
DAP3	MRPS25
DAP3	ERAL1
DAP3	MRPS9
DAP3	MRPL15
DAP3	MRPL13
DAP3	ICT1
DAP3	MRPL38
DAP3	MRPL46
DAP3	TSFM
DAP3	MRPL37
DAP3	MRPS31
DAP3	GFM1
DAP3	MRPS26
DAP3	MRPL45
DAP3	MRPS6
DAP3	MRPL47
DAP3	MRPS30
DAP3	MRPL19
DAP3	MRPS2
DBI	PFDN2
DCAF13	TRMT6
DBI	PFDN5
DCAF13	MRPS7
DCAF13	RBM28
DCAF13	GRWD1
DCAF13	UBE2M
DCAF13	NAT10
DCAF13	NOL11
DCAF13	RTCA
DCAF13	DDX56
DCAF13	UTP20
DCAF13	WDR12
DCAF13	POLR1A
DCAF13	UTP6
DCAF13	NHP2
DCAF13	NOP9
DCAF13	PWP2
DCAF13	NVL
DCAF13	RPS23
DCAF13	DCUN1D1
DCAF13	UTP15
DCAF13	GNL3
DCAF13	OPLAH
DCAF13	PRPF31
DCAF13	TFB2M
DCAF13	NOP2
DCAF13	TRMT61A
DCAF13	DDX24
DCAF13	POLR3C
DCAF13	KRI1
DCAF13	DDX54
DCAF13	RRS1
DCAF13	NMD3
DCAF13	NOC2L
DCAF13	RRP12
DCAF13	RPS27
DCAF13	PWP1
DCAF13	GPS1
DCAF13	RPS26
DCAF13	RPS15
DCAF13	RPF2
DCAF13	XRN2
DCAF13	UBA3
DCAF13	NAE1
DCAF13	RPP30
DCAF13	PAK1IP1
DCAF13	EXOSC10
DCAF13	DDX27
DCAF13	RSL1D1
DCAF13	FTSJ3
DCAF13	NOL10
DCAF13	PDCD11
DCAF13	DDX47
DCAF13	WDR3
DCAF13	NOL6
DCAF13	NOC4L
DCAF13	EMG1
DCAF13	WDR36
DCAF13	TBL3
DCAF13	HEATR1
DCAF13	WDR75
DCN	MET
DCAF13	UTP14A
DCN	MMP14
DCN	HSPG2
DCN	SDC1
DCTD	NT5E
DCTD	DTYMK
DCTD	DCTPP1
DCTD	RFC4
DCTD	NT5C2
DCTPP1	NT5E
DCTD	NT5C3A
DCTPP1	NT5C2
DCTPP1	POLD1
DCTPP1	NT5C3A
DCTPP1	NME1
