name	module
AASDHPPT	1
ACACA	1
FASN	1
ERAL1	1
PSMD2	1
COASY	1
PRKAG1	1
ACSS2	1
ACAT2	1
COPB1	1
MCAT	1
ACP1	2
AKR1B1	2
ALDOA	2
ALDOC	2
C12orf5	2
DAK	2
ENO2	2
FUK	2
G6PD	2
GFPT1	2
GNPDA1	2
GNPDA2	2
GNPNAT1	2
GPI	2
HK2	2
HK3	2
LDHA	2
LDHB	2
ME1	2
NAGK	2
PGM2	2
PGM3	2
TKT	2
EEF1G	2
ENO1	2
APOA1BP	2
AMDHD2	2
C11orf54	2
AKR1A1	2
GAPDH	2
GLB1	2
GALM	2
COPS5	2
MDH1	2
HELZ2	2
HEXA	2
HEXB	2
MPI	2
PGAM1	2
NUDT5	2
NUDT9	2
PGM1	2
PC	2
PGK1	2
PFKP	2
PKM	2
PGD	2
RPE	2
TALDO1	2
SSU72	2
NIT2	2
PGM5	2
PCBD1	2
UAP1	2
MAGED2	2
OLA1	2
PROS1	2
MMRN1	2
ISLR	2
PITPNA	2
GLA	2
GK	2
GPX4	2
SORD	2
AKR1C3	2
GSDMD	2
CAMP	2
LYZ	2
IDH1	2
CSTB	2
PTX3	2
GGH	2
CNN2	2
MMP9	2
LTA4H	2
CDA	2
LTF	2
SPTAN1	2
GNPAT	2
FKBP1A	2
HINT1	2
PLS3	2
PGLS	2
PMM2	2
SRA1	2
RENBP	2
PGM2L1	2
PNP	2
UGP2	2
PYGL	2
UFC1	2
TPI1	2
UAP1L1	2
AHCYL1	3
ANP32A	3
ANP32E	3
AHCY	3
UBQLN4	3
PPM1G	3
UCHL5	3
ANP32B	3
C1orf50	3
AHSA1	4
HSP90AB1	4
TRAP1	4
STIP1	4
PTGES3	4
PPID	4
HSPH1	4
AKT1	5
APBB1IP	5
ARAF	5
CSK	5
DEPTOR	5
FAM114A2	5
ITGA2B	5
MAP2K1	5
MAP2K2	5
SFN	5
ATG7	5
INPPL1	5
ITGB3	5
PPP2R1B	5
ITGB1	5
ITGB4	5
LRRK2	5
LAMB1	5
LAMC2	5
HSPB6	5
