name	seedslabel
GRWD1	1
FASN	1
PABPC4	1
SHMT1	1
EIF2B4	1
EIF2B5	1
EIF2B1	1
NPM1	1
EIF2AK2	1
RASA1	1
SRM	1
RFC4	1
MAP2K1	1
ARAF	1
NAA10	1
APEX1	1
GNPNAT1	1
VAV1	1
LDHA	1
HNRNPA1	1
TPI1	1
GAPDH	1
ALDH18A1	1
SMARCC1	1
SFN	1
MAPK14	1
AKT1	1
HK2	1
ENO1	1
PSAT1	1
ANP32A	1
AHCY	1
PCBD1	1
IMPDH2	1
GART	1
TOP2A	1
GNG11	1
CAPG	1
MSH6	1
GOLM1	1
ALDOA	1
NPM3	1
ARHGAP35	1
KPNA2	1
EML4	1
IPO5	1
IPO4	1
RRS1	1
TNFSF10	1
DDX56	0
NAT10	0
USP15	0
NID2	0
CEBPZ	0
PTMA	0
MAN1A2	0
BYSL	0
RBM28	0
HSPB6	0
TRMT6	0
AATF	0
COASY	0
AASDHPPT	0
MAN2A1	0
TBCB	0
AARSD1	0
GARS	0
HARS	0
GOLGA5	0
FARSB	0
STAT5A	0
CIAPIN1	0
INPP5D	0
RAVER1	0
STAT1	0
NSUN2	0
NMD3	0
VAV2	0
UBA1	0
PLCG2	0
ST13	0
NARS	0
STK38	0
AARS2	0
FGF2	0
SARS	0
BCR	0
ASNS	0
AARS	0
TFB2M	0
UPF2	0
GCLM	0
NCKAP1L	0
NGLY1	0
GCLC	0
BCAT1	0
BID	0
NELFB	0
MRPL13	0
CD34	0
UBL4A	0
GET4	0
BAG6	0
LSM1	0
CDK11A	0
GALE	0
MGST1	0
FUT8	0
PIGR	0
PRELP	0
NFIB	0
MANBA	0
ST6GAL1	0
RPS6KA3	0
B4GALT1	0
HNRNPLL	0
HNRNPAB	0
NEK9	0
SLC9A3R2	0
G3BP2	0
ATXN2L	0
CCS	0
ATOX1	0
SHMT2	0
MTHFD2	0
PFAS	0
MTHFD1L	0
EIF5	0
MTHFD1	0
HNMT	0
HN1L	0
STMN1	0
NCAM2	0
TRIM28	0
HN1	0
THUMPD1	0
EIF2B3	0
EIF2B2	0
PTPN2	0
STAU2	0
EIF2A	0
SRPK1	0
SQSTM1	0
NOP10	0
ATG5	0
ATG3	0
ATG16L1	0
NARS2	0
CPS1	0
EDEM3	0
NANS	0
QPRT	0
