AASDHPPT	COASY
ACACA	PRKAG1
ACACA	PSMD2
ACACA	ACSS2
ACACA	ACAT2
ACACA	COPB1
ACP1	PITPNA
ADD1	DMTN
ADD1	CASP3
ADD1	ADD3
ADD2	DMTN
AHCYL1	UBQLN4
AHCYL1	PPM1G
AHSA1	HSP90AA1
AHSA1	TRAP1
AHSA1	CACYBP
AHSA1	STIP1
AHSA1	PTGES3
AHSA1	HSP90AB1
AHSA1	PPID
AHSA1	HSPH1
AKR1B1	GLA
AKR1B1	GLB1
AKR1B1	GK
AKR1B1	SPR
AKR1B1	GPX4
AKR1B1	SORD
AKR1B1	GALM
AKR1B1	AKR1C3
AKT1	EGLN1
AKT1	APAF1
AKT1	PFKFB2
AKT1	CAV1
AKT1	OGT
AKT1	PPP2R5E
AKT1	PAK1
AKT1	RBP1
AKT1	HSP90AB1
AKT1	ITGB4
AKT1	LAMB1
AKT1	HSP90AA1
AKT1	ITGA6
AKT1	LAMC2
AKT1	YWHAG
AKT1	PPP2R5D
AKT1	INPPL1
AKT1	GSK3B
AKT1	TEP1
AKT1	SOD3
AKT1	RHEB
AKT1	GSK3A
AKT1	PPP2R1B
AKT1	ITGB3
AKT1	SPR
AKT1	PTGES3
ALDOA	ISLR
ALDOA	FAM49B
ALDOA	TIMP1
ALDOA	GSDMD
ALDOA	CAMP
ALDOA	LYZ
ALDOA	IDH1
ALDOA	CSTB
ALDOA	CANT1
ALDOA	PTX3
ALDOA	OLA1
ALDOA	PROS1
ALDOA	GGH
ALDOA	PTPN6
ALDOA	CNN2
ALDOA	MMP9
ALDOA	LTA4H
ALDOA	PPBP
ALDOA	FERMT3
ALDOA	CDA
ALDOA	PGM1
ALDOA	MAGED2
ALDOA	MMRN1
ALDOA	LTF
ALDOA	PF4
ALDOA	SPTAN1
ALDOA	NIT2
ALDOC	PTPN6
ALDOC	LTF
ALDOC	PTX3
ALDOC	CNN2
ALDOC	LYZ
ALDOC	CANT1
ALDOC	CAMP
ALDOC	SPTAN1
ALDOC	PGM1
ALDOC	GSDMD
ALDOC	IDH1
ALDOC	LTA4H
ALDOC	CSTB
ALDOC	PPBP
ALDOC	GGH
ALDOC	MMP9
ALDOC	NIT2
ALDOC	CDA
ANP32A	ELAVL1
ANP32A	XPO1
ANP32E	UCHL5
APBB1IP	PFN2
APBB1IP	ATG7
APBB1IP	PFN1
APBB1IP	PAPSS1
APBB1IP	SYK
APBB1IP	ITGB3
APEX1	TXN
APEX1	RFC3
APEX1	RFC5
APEX1	RFC2
ARAF	ITGB3
ARAF	PAPSS1
ARAF	PPP2R5E
ARAF	ATG7
ARAF	PPP2R1B
ARAF	PPP2R5D
ARAF	PPP5C
ARHGAP35	MET
ATIC	CANT1
ATIC	IMPDH1
ATIC	NT5E
ATIC	GMPR2
ATIC	NT5C2
ATIC	NT5C3A
ATIC	ENTPD1
ATIC	HPRT1
ATIC	PFAS
ATIC	ITPA
ATXN2L	SLC9A3R2
ATXN2L	G3BP2
BID	CASP8
BID	NMT1
BID	TRADD
BID	CASP10
C12orf5	PFKFB2
C12orf5	MPI
C9orf142	XRCC4
CAPG	SNX3
CAPG	UFM1
CBFB	GPAM
CBFB	PF4
CBFB	HDAC4
CBFB	ITGA5
CBFB	TJP1
CBFB	PRMT1
CBFB	PPIA
CBFB	HDAC6
CBFB	TCEB2
CBFB	CLDN5
CBFB	CTSL
CBFB	STAT1
CDK5	PAK1
CDK5	PLXNA2
CDK5	GSK3B
CMAS	NANS
CSE1L	UBE2A
CSE1L	TWF1
CSE1L	KPNA6
CSE1L	UBR1
CSE1L	TXNDC5
CSK	PAPSS1
CSK	PTPN6
CSK	TNS1
CSK	ITGB3
CSK	ITGB1
CSK	TENC1
CSK	ITGA1
CSK	PECAM1
CSK	PRKAR2B
CSK	FRK
DAK	GNPAT
DAK	TRIM25
DAK	DDX58
DEPTOR	RHEB
DEPTOR	IGBP1
DEPTOR	YWHAG
EFNB1	PAK2
EFNB1	MMP9
EFNB1	PTPN13
EFNB1	PAK1
EIF2AK2	MX2
EIF2AK2	ISG15
EIF2AK2	TRIM25
EIF2AK2	STAT1
EIF2AK2	MX1
EIF2AK2	UBE2L6
EIF2AK2	MYD88
EIF2B5	GSK3B
ENO2	FKBP1A
ENO2	GPX4
ENO2	HINT1
ENO2	PLS3
FAM114A2	PAPSS1
FAM114A2	ITGB3
FEN1	RFC3
FEN1	RFC2
FEN1	NASP
FEN1	RFC5
FEN1	RAD50
FEN1	XRCC1
FUK	SORD
FYN	PPP2R1B
FYN	LCP2
FYN	PRNP
FYN	LRP8
FYN	ITGA1
FYN	MAPK13
FYN	SPTB
FYN	ITGB1
FYN	SPTBN1
FYN	MAPKAPK2
FYN	SPTA1
FYN	PTPN13
FYN	SNCA
FYN	PAK1
FYN	SPTAN1
FYN	SYK
FYN	HSP90AB1
FYN	GSK3B
FYN	PTPRA
FYN	VAV2
FYN	PPP2R5E
FYN	PLXNA2
FYN	STAT5A
FYN	HSP90AA1
FYN	PTPN6
FYN	STAT1
FYN	PAK2
FYN	SPTBN2
FYN	PPP2R5D
FYN	PECAM1
FYN	KIRREL
FYN	HLA-E
G6PD	PGLS
G6PD	PGD
G6PD	PGM1
GART	PFAS
GFPT1	MPI
GLS2	OPLAH
GLUL	OPLAH
GMPS	NARS
GMPS	VARS
GMPS	ITPA
GMPS	WDR3
GMPS	POLR1A
GMPS	NT5E
GMPS	HPRT1
GMPS	NAT10
