"targetID","Indication"
"T00033","Chronic kidney disease [ICD-11: GB61] Phase 1/2"
"T00039","Fibrosis [ICD-11: GA14-GC01] Phase 2"
"T00043","COVID-19 [ICD-11: 1D6Y] Phase 3 Trial"
"T00043","Rheumatoid arthritis [ICD-11: FA20] Phase 3 Trial"
"T00099","COVID-19 [ICD-11: 1D6Y] Phase 2 Trial"
"T00100","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"T00140","Asthma [ICD-11: CA23] Approved"
"T00140","Filariasis [ICD-11: 1F66] Approved"
"T00140","Thrombocytopenia [ICD-11: 3B64] Phase 4"
"T00140","Lung cancer [ICD-11: 2C25] Phase 3"
"T00140","Nasopharyngeal cancer [ICD-11: 2B6B] Phase 3"
"T00140","Postoperative inflammation [ICD-11: 1A00-CA43] Phase 3"
"T00140","Rheumatoid arthritis [ICD-11: FA20] Phase 3"
"T00140","Atopic eczema [ICD-11: EA80] Phase 2"
"T00140","Carcinoid syndrome [ICD-11: 5B10] Phase 2"
"T00140","Fungal infection [ICD-11: 1F29-1F2F] Phase 2"
"T00140","Idiopathic interstitial pneumonitis [ICD-11: CB03] Phase 2"
"T00140","Influenza [ICD-11: 1E30-1E32] Phase 2"
"T00140","Pituitary gland disorder [ICD-11: 5A60-5A61] Phase 2"
"T00140","Psoriasis [ICD-11: EA90] Phase 2"
"T00140","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"T00140","Pain [ICD-11: MG30-MG3Z] Phase 1"
"T00140","Respiratory system disease [ICD-11: CB40-CB7Z] Withdrawn from market"
"T00140","Cardiovascular disease [ICD-11: BA00-BE2Z] Discontinued in Phase 2"
"T00140","Chronic obstructive pulmonary disease [ICD-11: CA22] Discontinued in Phase 2"
"T00140","Eczema [ICD-11: EA80-EA89] Discontinued in Phase 2"
"T00140","Pruritus [ICD-11: EC90] Discontinued in Phase 2"
"T00140","Thrombosis [ICD-11: DB61-GB90] Discontinued in Phase 2"
"T00140","Osteoarthritis [ICD-11: FA00-FA05] Discontinued in Phase 1"
"T00140","Allergic/hypersensitivity disorder [ICD-11: 4A80-4A8Z] Terminated"
"T00140","Arterial occlusive disease [ICD-11: BD40] Terminated"
"T00140","Malaria [ICD-11: 1F40-1F45] Investigative"
"T00145","COVID-19 [ICD-11: 1D6Y] Phase 3 Trial"
"T00145","Malaria [ICD-11: 1F40-1F45] Phase 3 Trial"
"T00145","Middle East Respiratory Syndrome [ICD-11: 1D64] Phase 3 Trial"
"T00145","Severe acute respiratory syndrome [ICD-11: 1D65] Phase 3 Trial"
"T00156","Depression [ICD-11: 6A70-6A7Z] Phase 2"
"T00158","COVID-19 [ICD-11: 1D6Y] Phase 3 Trial"
"T00158","Malaria [ICD-11: 1F40-1F45] Phase 3 Trial"
"T00158","Middle East Respiratory Syndrome [ICD-11: 1D64] Phase 3 Trial"
"T00158","Severe acute respiratory syndrome [ICD-11: 1D65] Phase 3 Trial"
"T00176","Acute myeloid leukaemia [ICD-11: 2A60] Phase 3"
"T00176","Malignant haematopoietic neoplasm [ICD-11: 2B33] Phase 3"
"T00176","Myeloproliferative neoplasm [ICD-11: 2A20] Phase 3"
"T00176","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 3"
"T00176","Mature B-cell leukaemia [ICD-11: 2A82] Phase 2"
"T00176","Myelodysplastic syndrome [ICD-11: 2A37] Phase 2"
"T00176","Neuroendocrine carcinoma [ICD-11: 2C34] Phase 2"
"T00176","Liposarcoma [ICD-11: 2B59] Phase 1"
"T00176","Lung cancer [ICD-11: 2C25] Phase 1"
"T00176","Prostate cancer [ICD-11: 2C82] Phase 1"
"T00176","Breast cancer [ICD-11: 2C60-2C6Y] Investigative"
"T00216","COVID-19 [ICD-11: 1D6Y] Investigative"
"T00216","Heart failure [ICD-11: BD10-BD1Z] Investigative"
"T00238","Ulcerative colitis [ICD-11: DD71] Phase 3"
