"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"O14672","ADAM10","CY13SQ",NA,NA,NA,"TTD"
"O14672","ADAM10","C49HOI",NA,NA,NA,"TTD"
"O14672","ADAM10","CPI3T0",NA,NA,NA,"TTD"
"O14672","ADAM10","C8CVO1",NA,NA,NA,"TTD"
"O14672","ADAM10","CO5P9I",NA,NA,NA,"TTD"
"O14672","ADAM10","C5YVB0",NA,NA,NA,"TTD"
"O14672","ADAM10","CBK43U",NA,NA,NA,"TTD"
"O14672","ADAM10","CQHJ85",NA,NA,NA,"TTD"
"O14672","ADAM10","C3SQL2",NA,NA,NA,"TTD"
"O14672","ADAM10","CD8RX4",NA,NA,NA,"TTD"
"O14672","ADAM10","C9CIY6",NA,NA,NA,"TTD"
"O14672","ADAM10","CUL5H2",NA,NA,NA,"TTD"
"O14672","ADAM10","CNC4D7",NA,NA,NA,"TTD"
"O14672","ADAM10","C20FCM",NA,NA,NA,"TTD"
"O14672","ADAM10","CY1N3J",NA,NA,NA,"TTD"
"O14672","ADAM10","CQY54S",NA,NA,NA,"TTD"
"O14672","ADAM10","C17YSI",NA,NA,NA,"TTD"
"O14672","ADAM10","C3GOS2",NA,NA,NA,"TTD"
"O14672","ADAM10","C6WSC7",NA,NA,NA,"TTD"
"O14672","ADAM10","C3H2DG",NA,NA,NA,"TTD"
"O14672","ADAM10","CH72RW",NA,NA,NA,"TTD"
"O14672","ADAM10","D0Q6MK","ISIS 100749",NA,NA,"TTD"
"O14672","ADAM10","CWB0G9",NA,NA,NA,"TTD"
"O14672","ADAM10","CH3V8F",NA,NA,NA,"TTD"
"O14672","ADAM10","C2Z4HB",NA,NA,NA,"TTD"
"O14672","ADAM10","C5LB0U",NA,NA,NA,"TTD"
"O14672","ADAM10","CIWP38",NA,NA,NA,"TTD"
"O14672","ADAM10","C06QZX",NA,NA,NA,"TTD"
"O14672","ADAM10","C4ECU2",NA,NA,NA,"TTD"
"O14672","ADAM10","C61BQP",NA,NA,NA,"TTD"
"O14672","ADAM10","CA5DJ4",NA,NA,NA,"TTD"
"O14672","ADAM10","C8HM5N",NA,NA,NA,"TTD"
"O14672","ADAM10","D0JV0I","ISIS 100743",NA,NA,"TTD"
"O14672","ADAM10","C3S2TQ",NA,NA,NA,"TTD"
"O14672","ADAM10","D01DVX","DPC-333",NA,"Inflammatory bowel disease [ICD-11: DD72] Terminated","TTD"
"O14672","ADAM10","CJ1MP7",NA,NA,NA,"TTD"
"O14672","ADAM10","C40DWG",NA,NA,NA,"TTD"
"O14672","ADAM10","C9USL8",NA,NA,NA,"TTD"
"O14672","ADAM10","C6MOB0",NA,NA,NA,"TTD"
"O14672","ADAM10","D0VI2A","PMID18068976C25",NA,NA,"TTD"
"O14672","ADAM10","C5HA4P",NA,NA,NA,"TTD"
"O14672","ADAM10","CAB7Q6",NA,NA,NA,"TTD"
"O14672","ADAM10","D02CZF","Aderbasib",NA,"Breast cancer [ICD-11: 2C60-2C65] Phase 1/2","TTD"
"O14672","ADAM10","C9G0QI",NA,NA,NA,"TTD"
"O14672","ADAM10","CJNH05",NA,NA,NA,"TTD"
