"GeneName","DrugID"
"ACACA","DB00121"
"ACAT2","DB01992"
"ACAT2","DB01915"
"ACP1","DB00173"
"ACP1","DB04214"
"ACSS2","DB00131"
"ACSS2","DB00171"
"ADAM10","DB04991"
"ADRBK1","DB00171"
"ADSS","DB05540"
"ADSS","DB00128"
"AHCY","DB09130"
"AHCY","DB03769"
"AHCY","DB03273"
"AHCY","DB03216"
"AKR1A1","DB03461"
"AKR1A1","DB02383"
"AKR1A1","DB09130"
"AKR1B1","DB07999"
"AKR1B1","DB07063"
"AKR1B1","DB00157"
"AKR1B1","DB02020"
"AKR1B1","DB02834"
"AKR1B1","DB02994"
"AKR1B1","DB02383"
"AKR1B1","DB05327"
"AKR1B1","DB07498"
"AKR1B1","DB07030"
"AKR1B1","DB05533"
"AKR1B1","DB04272"
"AKR1B1","DB08449"
"AKR1B1","DB02101"
"AKR1B1","DB08772"
"AKR1B1","DB02132"
"AKR1B1","DB08000"
"AKR1B1","DB07139"
"AKR1B1","DB08098"
"AKR1B1","DB02518"
"AKR1B1","DB02712"
"AKR1B1","DB07028"
"AKR1B1","DB07187"
"AKR1B1","DB05383"
"AKR1B1","DB03461"
"AKR1B1","DB08084"
"AKR1B1","DB07093"
"AKR1B1","DB00605"
"AKR1B1","DB00143"
"AKR1B1","DB02021"
"AKR1B1","DB07450"
"AKR1B1","DB16707"
"AKR1B1","DB02007"
"AKR1B1","DB01689"
"AKR1B1","DB06246"
"AKR1C3","DB02266"
"AKR1C3","DB01536"
"AKR1C3","DB03461"
"AKR1C3","DB01698"
"AKR1C3","DB02056"
"AKR1C3","DB07700"
"AKR1C3","DB00328"
"AKR1C3","DB00157"
"AKT1","DB01169"
"AKT1","DB01863"
"AKT1","DB02709"
"AKT1","DB06486"
"AKT1","DB01645"
"AKT1","DB00171"
"AKT1","DB06641"
"AKT1","DB05971"
"AKT1","DB07585"
"AKT1","DB07584"
"ALDH18A1","DB00142"
"ALDOA","DB08240"
"ALDOA","DB02512"
"ALDOA","DB14487"
"ALDOA","DB01593"
"ALDOA","DB11638"
"ALDOA","DB04733"
"ALDOA","DB04326"
"ALDOA","DB14533"
"ALDOA","DB14548"
"APAF1","DB00171"
"APCS","DB07580"
"APCS","DB07579"
"APCS","DB09130"
"APCS","DB01651"
"APCS","DB14487"
"APCS","DB01593"
"APEX1","DB04967"
"APOB","DB14548"
"APOB","DB14533"
"APRT","DB00173"
"APRT","DB03506"
"APRT","DB01632"
"APRT","DB04272"
"ARAF","DB00171"
"ATIC","DB03442"
"ATIC","DB01700"
"ATIC","DB00563"
"ATIC","DB01972"
"ATIC","DB00116"
"ATIC","DB02309"
"ATIC","DB04057"
"ATIC","DB00642"
"BCAT1","DB07544"
"BCAT1","DB00149"
"BCAT1","DB00142"
"BCAT1","DB00161"
"BCAT1","DB00167"
"BCAT1","DB00114"
"BCR","DB06616"
"BCR","DB00619"
"BCR","DB08901"
"BCR","DB01254"
"CACNA2D2","DB01244"
"CACNA2D2","DB08872"
"CACNA2D2","DB01054"
"CACNA2D2","DB00270"
"CACNA2D2","DB01023"
"CACNA2D2","DB00996"
"CAD","DB03459"
"CALCRL","DB15688"
"CALCRL","DB12228"
"CALCRL","DB12457"
"CALCRL","DB16098"
"CALCRL","DB15328"
"CALCRL","DB14039"
"CALCRL","DB04869"
"CAMP","DB02345"
"CANT1","DB03486"
"CARS","DB00151"
"CASP3","DB08499"
"CASP3","DB07696"
"CASP3","DB01017"
"CASP3","DB08213"
"CASP3","DB00945"
"CASP3","DB08251"
"CASP3","DB05408"
"CASP3","DB00282"
"CASP3","DB13751"
"CASP3","DB06862"
"CASP3","DB08497"
"CASP3","DB08498"
"CASP3","DB08229"
"CASP3","DB03124"
"CASP3","DB06255"
"CASP7","DB06255"
"CASP7","DB05408"
"CASP7","DB03384"
"CASP8","DB12651"
"CASP8","DB11752"
"CDA","DB00987"
"CDA","DB15694"
"CDA","DB03185"
"CDA","DB00928"
"CDH5","DB00480"
"CDH5","DB05685"
"CDK2","DB04006"
"CDK2","DB08572"
"CDK2","DB07533"
"CDK2","DB08539"
"CDK2","DB08531"
"CDK2","DB07220"
"CDK2","DB02898"
"CDK2","DB03583"
"CDK2","DB07790"
