"GeneName","Type"
"ACACA","T"
"ACP1","T"
"AKR1B1","T"
"AKT1","T"
"ALDOA","T"
"APEX1","T"
"ARAF","T"
"ATIC","T"
"CDK5","T"
"CMAS","T"
"CSK","T"
"DEPTOR","T"
"EIF2AK2","T"
"ENO2","T"
"FEN1","T"
"FYN","T"
"G6PD","T"
"GART","T"
"GLS2","T"
"GLUL","T"
"GMPS","T"
"GNA11","T"
"GNAI1","T"
"GNG2","T"
"GNPDA1","T"
"GPI","T"
"HK2","T"
"HNRNPA1","T"
"IKBKB","T"
"IMPDH2","T"
"ITGA2B","T"
"ITPR1","T"
"JAK1","T"
"LDHA","T"
"LDHB","T"
"MAP2K1","T"
"MAP2K2","T"
"MAPK14","T"
"ME1","T"
"MIF","T"
"MTAP","T"
"MTHFD1","T"
"NAGK","T"
"NME1","T"
"NOP2","T"
"NPM1","T"
"OAT","T"
"PAICS","T"
"PCNA","T"
"PLA2G4A","T"
"POLB","T"
"POLD1","T"
"PTPN11","T"
"PTPN2","T"
"RAN","T"
"RHOB","T"
"RIPK1","T"
"SMARCA4","T"
"SMS","T"
"SUMO1","T"
"TKT","T"
"TNFSF10","T"
"AHCY","T"
"ADSS","T"
"APRT","T"
"AMPD2","T"
"BAX","T"
"ADK","T"
"CDK2","T"
"BCR","T"
"ATG7","T"
"DDX58","T"
"EIF2B1","T"
"EIF2B2","T"
"ENO1","T"
"CMA1","T"
"CD36","T"
"FES","T"
"CAD","T"
"ALDH18A1","T"
"CPS1","T"
"GCLM","T"
"GCLC","T"
"CANT1","T"
"ENTPD1","T"
"CARS","T"
"CTPS1","T"
"FARSB","T"
"DDX5","T"
"ADRBK1","T"
"CACNA2D2","T"
"CALCRL","T"
"AKR1A1","T"
"ADAM10","T"
"APOB","T"
"GAPDH","T"
"APCS","T"
"GLB1","T"
"DDX39B","T"
"ELAVL1","T"
"CASP10","T"
"HSP90AB1","T"
"CASP8","T"
"IMPDH1","T"
"HPRT1","T"
"HTT","T"
"IL6ST","T"
"INPP5D","T"
"FGF2","T"
"FUBP1","T"
"COPS5","T"
"ITGB3","T"
"CASP3","T"
"EIF4E","T"
"KRT8","T"
"MAP2K3","T"
"MAPK13","T"
"FASN","T"
"CARM1","T"
"MDH1","T"
"IL4I1","T"
"GOT1","T"
"GAA","T"
"ENOPH1","T"
"HEXB","T"
"DTYMK","T"
"ITPA","T"
"CMPK1","T"
"GSPT1","T"
"CUL4A","T"
"CUL4B","T"
"PGAM1","T"
"NUDT9","T"
"PGM1","T"
"PC","T"
"NME2","T"
"PGK1","T"
"MET","T"
"PAK1","T"
"PIP4K2C","T"
"PAK2","T"
"PFAS","T"
"PRMT1","T"
"IRF3","T"
"ITGB1","T"
"ITGA1","T"
"PSMA4","T"
"HDAC6","T"
"EEF1A1","T"
"HDAC4","T"
"HSPA4","T"
"CLASP1","T"
"HSPA13","T"
"NUDC","T"
"NEK9","T"
"RANBP1","T"
"CIT","T"
"MYH11","T"
"MYH14","T"
"PKN2","T"
"PRKCI","T"
"HSP90AA1","T"
"NFKB2","T"
"POLR1A","T"
"CTSL","T"
"MPO","T"
"CTBP1","T"
"PF4","T"
"PPBP","T"
"BCAT1","T"
"GLO1","T"
"ITGB4","T"
"LRRK2","T"
"LAMB1","T"
"LAMC2","T"
"PIN1","T"
"FKBP5","T"
"SDSL","T"
"MTHFD2","T"
"SHMT1","T"
"PRMT5","T"
"PPP5C","T"
"PARK7","T"
"PKM","T"
"PGD","T"
"ITGA5","T"
"STAT5A","T"
"PCBD1","T"
"UAP1","T"
"TXN","T"
