GeneName DrugID
MYH10 RHOB
ARHGDIA RHOJ
ARHGDIA RHOB
MYH14 RHOB
RHOB SYK
RHOB VAV2
RHOB VAV1
RHOB RHOJ
AKAP13 RHOJ
AKAP13 RHOB
GDI1 MAPK14
GDI1 RHOJ
GDI1 RHOB
ARHGDIB RHOJ
ARHGDIB RHOB
ARHGAP27 RHOJ
ARHGAP27 RHOB
MYO9B RHOJ
MYO9B RHOB
GDI2 RHOJ
GDI2 RHOB
ARHGEF15 RHOJ
ARHGEF15 RHOB
GMIP RHOJ
GMIP RHOB
ARHGAP1 RHOJ
ARHGAP1 RHOB
OCRL RHOJ
OCRL RHOB
DIAPH1 RHOB
ABR RHOJ
ABR RHOB
RHOJ VAV2
RHOJ VAV1
MYH11 RHOB
ARHGEF10 RHOJ
ARHGEF10 RHOB
PKN2 RHOB
ARAP1 RHOJ
ARAP1 RHOB
CIT RHOB
EIF4E MAPK14
EIF4E RANBP2
HSPA12A RANBP2
CD2BP2 HNRNPA1
CSTF1 HNRNPA1
CTNNBL1 KHDRBS1
CTNNBL1 HNRNPA1
POLDIP3 RANBP2
CSTF2 HNRNPA1
CLASP2 RANBP2
COL4A3BP RANBP2
RANBP2 SRSF5
RANBP2 RCC1
RANBP2 SRSF11
RANBP2 SRRM1
RANBP2 ZC3H11A
RANBP2 SARNP
RANBP2 XPOT
RANBP2 RCC2
RANBP2 XPO1
RANBP2 RPS27
RANBP2 TOP2A
DHX16 HNRNPA1
MAD1L1 RANBP2
DDX39A RANBP2
DDX39A RAN
MAPRE1 RANBP2
KIF2A RANBP2
DNAJC8 HNRNPA1
CLASP1 RANBP2
HNRNPA1 KHDRBS1
HNRNPA1 PPIL4
HNRNPA1 PCBP2
HNRNPA1 TARDBP
HNRNPA1 YBX1
HNRNPA1 SRRT
HNRNPA1 PPIH
HNRNPA1 LSM4
HNRNPA1 LSM2
HNRNPA1 SART1
HNRNPA1 SSB
HNRNPA1 PPIL1
HNRNPA1 SRRM1
HNRNPA1 PSME3
HNRNPA1 NCBP1
HNRNPA1 PRPF4
HNRNPA1 PUF60
HNRNPA1 SRSF11
