GeneName,DrugID,label,module
AKT1,COLG92,D,5
AKT1,D0N7CY,D,5
AKT1,CGK64O,D,5
AKT1,C1EVH2,D,5
AKT1,CBZF15,D,5
AKT1,CHP41T,D,5
AKT1,CL7X4Q,D,5
AKT1,C3TU8R,D,5
AKT1,C5Y4PN,D,5
AKT1,D0Q9UX,D,5
AKT1,CFLZ87,D,5
AKT1,C5TQ7X,D,5
AKT1,CN4M9E,D,5
AKT1,C5ZN6X,D,5
AKT1,D0ME9B,D,5
AKT1,CXW98R,D,5
AKT1,CIA2K6,D,5
AKT1,C5Q0HA,D,5
AKT1,C9XKJ3,D,5
AKT1,D0Q3KS,D,5
AKT1,C4XJ3M,D,5
AKT1,C9LD2T,D,5
AKT1,CQ31WL,D,5
AKT1,C93TIM,D,5
AKT1,CBI49V,D,5
AKT1,D05APZ,D,5
AKT1,CAE82W,D,5
AKT1,C9TLK1,D,5
AKT1,C97SCV,D,5
AKT1,C40AJH,D,5
AKT1,C1LUN4,D,5
AKT1,D0F8HX,D,5
AKT1,CX1HL8,D,5
AKT1,C5SMC3,D,5
AKT1,CLN3G8,D,5
AKT1,CU0RT2,D,5
AKT1,CW4O2P,D,5
AKT1,CQP7E0,D,5
AKT1,C7LI4T,D,5
AKT1,CK2XD0,D,5
AKT1,CU3OI4,D,5
AKT1,D0F5VX,D,5
AKT1,C32AGE,D,5
AKT1,D0L5AB,D,5
AKT1,CXK0S6,D,5
AKT1,C4E7GT,D,5
AKT1,C7SFI1,D,5
AKT1,CSA02I,D,5
AKT1,CO39BH,D,5
AKT1,CYTV91,D,5
AKT1,CN27OH,D,5
AKT1,COTH35,D,5
AKT1,CQGZ06,D,5
AKT1,CAG31D,D,5
AKT1,CC93JP,D,5
AKT1,C4K2BJ,D,5
AKT1,D0I1FJ,D,5
AKT1,CJ7KT3,D,5
AKT1,CY8L7E,D,5
AKT1,D02ZQS,D,5
AKT1,D0CM6T,D,5
AKT1,CRT01D,D,5
AKT1,CYH7W1,D,5
AKT1,CX96EC,D,5
AKT1,C31FHN,D,5
AKT1,C14NAT,D,5
AKT1,C7HMO6,D,5
AKT1,CN8YZ4,D,5
AKT1,COB07T,D,5
AKT1,D0MS3Z,D,5
AKT1,C9F2JD,D,5
AKT1,C90PSW,D,5
AKT1,CJ9T1S,D,5
AKT1,CTZI67,D,5
AKT1,CSWY60,D,5
AKT1,C3DX1P,D,5
AKT1,C2G7FT,D,5
AKT1,CCF67M,D,5
AKT1,CX02HJ,D,5
AKT1,C3KEI5,D,5
AKT1,CEX8Y5,D,5
AKT1,C5R7EZ,D,5
AKT1,CI8MW4,D,5
AKT1,C5USP1,D,5
AKT1,C6EOM7,D,5
AKT1,CNZ1V8,D,5
AKT1,C81CLV,D,5
AKT1,C1HSE0,D,5
AKT1,CHI9J4,D,5
AKT1,C8WJF6,D,5
AKT1,CL7V8R,D,5
AKT1,C9QO8U,D,5
AKT1,C5R2QD,D,5
AKT1,CSXW63,D,5
AKT1,CR1DI7,D,5
AKT1,CE72RT,D,5
AKT1,CSH8A5,D,5
AKT1,CQ5SD4,D,5
AKT1,CDVB42,D,5
AKT1,CJEB45,D,5
AKT1,C3JV4L,D,5
AKT1,CP05SQ,D,5
AKT1,C5ZY9R,D,5
AKT1,C4SGZ6,D,5
AKT1,CSY9Z6,D,5
AKT1,C50LNE,D,5
AKT1,CABL68,D,5
AKT1,CA4G5W,D,5
AKT1,CI7T0B,D,5
