DrugID,GeneName,label,module,DrugName,Indication
D00QKL,AKR1B1,D,2,T2c-003,Diabetic neuropathy [ICD-11: 8C0Z] Phase 1/2
D02GRR,NT5E,D,8,Oleclumab,Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1
D02ZKR,PNP,D,2,BCX-3408,Autoimmune diabetes [ICD-11: 5A10] Phase 2
D02ZKR,PNP,D,2,BCX-3408,Gout [ICD-11: FA25] Phase 2
D02ZKR,PNP,D,2,BCX-3408,Plaque psoriasis [ICD-11: EA90.0] Phase 2
D03KOZ,AKR1B1,D,2,Epalrestat,Pain [ICD-11: MG30-MG3Z] Investigative
D03KOZ,AKR1B1,D,2,Epalrestat,Diabetic neuropathy [ICD-11: 8C0Z] Approved
D03UIF,LTA4H,D,2,SA-6541,Inflammation [ICD-11: 1A00-CA43.1] Investigative
D04BFU,AKR1B1,D,2,LIDORESTAT,Diabetic complication [ICD-11: 5A2Y] Phase 2
D04PBH,AKR1B1,D,2,CONTIGOSIDE B,Thrombosis [ICD-11: DB61-GB90] Phase 2/3
D04PWT,MMP9,D,2,DP-b99,Stroke [ICD-11: 8B20] Phase 3
D05JCG,G6PD,D,2,CBF-BS2,Rheumatoid arthritis [ICD-11: FA20] Discontinued in Phase 2
D05JEG,GAA,D,8,BMN-701,Type 2 glycogen storage disease [ICD-11: 5C51.3] Phase 3
D05JEG,GAA,D,8,BMN-701,Pompe disease [ICD-11: 5C51.3] Phase 3
D05QIS,IMPDH1,D,8,VX-944,Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2
D05UPB,PNP,D,2,CI-972,Rheumatoid arthritis [ICD-11: FA20] Discontinued in Phase 1
D05VEP,MMP9,D,2,DX-2802,Solid tumour/cancer [ICD-11: 2A00-2F9Z] Preclinical
D06EDT,AKR1B1,D,2,ZOPOLRESTAT,Diabetic complication [ICD-11: 5A2Y] Discontinued in Phase 2
D06KSV,GAPDH,D,2,Omigapil,Muscular dystrophy [ICD-11: 8C70] Phase 1
D06KSV,GAPDH,D,2,Omigapil,Lateral sclerosis [ICD-11: 8B61] Phase 2
D06QBX,HK2,D,2,VDA-1102 topical ointment,Actinic keratosis [ICD-11: EK90.0] Phase 2
