Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C01BDZ,1,3,3.0,-1.8692486272892415,0.163
C01BWL,2,0,7.5,,0.0
C01FVM,1,7,5.0,1.4287522354730249,1.0
C01GQV,2,8,3.0,0.09741599328981401,0.739
C01QHB,1,3,5.0,1.5935502526752323,1.0
C02GUX,1,0,4.0,,0.0
C02HZN,1,3,3.0,-0.7278439859167346,0.3256
C02LOP,2,2,6.0,0.0,1.0
C02NBO,1,6,3.0,-0.40689653321206054,0.5314
C02NZH,1,6,2.0,-1.1777649401647452,0.1684
C02PGS,1,3,5.0,1.3895439382722716,1.0
C02UKH,1,6,4.0,0.6286723010771527,0.8316
C02UYV,1,6,2.0,-1.1777649401647452,0.1684
C02VME,1,7,4.0,1.9930915164897591,1.0
C02ZBI,2,3,5.0,1.4146379325438996,1.0
C03FHV,1,8,3.0,0.09741599328981401,0.739
C03KFP,2,3,3.5,-0.29395814953208493,0.4056
C03KOG,1,0,4.0,,0.0
C03KUV,1,6,3.0,,0.0
C03NAR,1,3,4.0,-0.019107596817660697,0.6588
C03OEI,1,2,6.0,,0.0
C03ZRM,1,3,5.0,2.4028701968429527,1.0
C04EHN,2,0,7.5,,0.0
C04EVK,1,6,2.0,-0.49892218025118684,0.4666
C04GFC,1,2,5.0,5.2448805448574864,1.0
C04GKV,2,6,3.0,0.4716748027938783,0.7458
C04GVM,1,3,4.0,-0.019107596817660697,0.6588
C04HQK,3,7,4.333333333333333,1.3620396913496307,0.8126
C04INH,2,0,4.0,,0.0
C04JES,1,3,3.0,-0.8075925411543274,0.4056
C04JOX,3,8,3.0,-0.6477283061916567,0.3638
C04OXM,1,3,5.0,2.4028701968429527,1.0
C04OYX,1,6,1.0,,0.0
C04PAT,1,3,5.0,1.4146379325438996,1.0
C05FRE,1,0,7.0,,0.0
C05LVD,1,6,4.0,0.6315222957062698,0.8314
C05MQY,1,2,5.0,5.2448805448574864,1.0
C05OBK,1,6,4.0,0.6286723010771527,0.8316
C05OSP,1,6,2.0,-1.1777649401647452,0.1684
C05PBG,1,0,4.0,,0.0
C05QCD,1,3,4.0,-0.019107596817660697,0.6588
C05RJC,1,3,5.0,2.4028701968429527,1.0
C05SEW,1,3,5.0,0.5852803866909595,0.8574
C05ULY,1,0,7.0,,0.0
C05WVF,1,3,3.0,-1.4391848634741369,0.3256
C06AMS,1,6,2.0,-0.40677376782099756,0.5084
C06DWR,1,8,3.0,-0.8933459188170043,0.2486
C06EWA,1,7,4.0,1.1698485854726073,1.0
C06INP,2,6,3.0,0.4716748027938783,0.7458
C06QAI,2,2,6.0,0.0,1.0
